uid,day,1,2,3,4,5,6,7,8
f28b54e842f2470490c0396d7d0691d6,1,F,F,F,F,F,F,F,F
f28b54e842f2470490c0396d7d0691d6,2,F,F,F,F,F,F,F,F
f28b54e842f2470490c0396d7d0691d6,3,F,F,F,F,F,F,F,F
f28b54e842f2470490c0396d7d0691d6,4,9B,F,10C,10D,9B,10E,9A,10D
f28b54e842f2470490c0396d7d0691d6,5,F,F,F,F,F,F,F,F
51b1eaaa22984d7e813ffb516b127232,0,F,F,F,F,F,F,F,F
51b1eaaa22984d7e813ffb516b127232,1,F,F,F,F,F,F,F,F
51b1eaaa22984d7e813ffb516b127232,2,F,F,F,F,F,F,F,F
51b1eaaa22984d7e813ffb516b127232,3,F,F,F,F,F,F,F,F
51b1eaaa22984d7e813ffb516b127232,4,6B,8E,9D,F,6D,6E,7B,F
51b1eaaa22984d7e813ffb516b127232,5,F,F,F,F,F,F,F,F
eae921ff0b174edf88c4e95048e2d238,0,F,F,F,F,F,F,F,F
eae921ff0b174edf88c4e95048e2d238,1,F,F,F,F,F,F,F,F
eae921ff0b174edf88c4e95048e2d238,2,F,F,F,F,F,F,F,F
eae921ff0b174edf88c4e95048e2d238,3,F,F,F,F,F,F,F,F
eae921ff0b174edf88c4e95048e2d238,4,7D,F,9E,F,10A,F,6C,F
eae921ff0b174edf88c4e95048e2d238,5,F,F,F,F,F,F,F,F
29c3f09ac61a428590356185b10321a6,0,F,F,F,F,F,F,F,F
29c3f09ac61a428590356185b10321a6,1,F,F,F,F,F,F,F,F
29c3f09ac61a428590356185b10321a6,2,F,F,F,F,F,F,F,F
29c3f09ac61a428590356185b10321a6,3,F,F,F,F,F,F,F,F
29c3f09ac61a428590356185b10321a6,4,6A,9C,6A,10B,7C,F,F,8B
